==> (2022, 8, 13, 1, 40, 41) | [log] 下载图片并保存为./out/capture001/page33..jpg完成...
==> (2022, 8, 13, 1, 40, 41) | [log] !图片进度: (34/48)
==> (2022, 8, 13, 1, 40, 42) | [log] 下载图片并保存为./out/capture001/page34..jpg完成...
==> (2022, 8, 13, 1, 40, 42) | [log] !图片进度: (35/48)
==> (2022, 8, 13, 1, 40, 43) | [log] 下载图片并保存为./out/capture001/page35..jpg完成...
==> (2022, 8, 13, 1, 40, 43) | [log] !图片进度: (36/48)
==> (2022, 8, 13, 1, 40, 44) | [log] 下载图片并保存为./out/capture001/page36..jpg完成...
==> (2022, 8, 13, 1, 40, 44) | [log] !图片进度: (37/48)
==> (2022, 8, 13, 1, 40, 45) | [log] 下载图片并保存为./out/capture001/page37..jpg完成...
==> (2022, 8, 13, 1, 40, 45) | [log] !图片进度: (38/48)
==> (2022, 8, 13, 1, 40, 46) | [log] 下载图片并保存为./out/capture001/page38..jpg完成...
==> (2022, 8, 13, 1, 40, 46) | [log] !图片进度: (39/48)
==> (2022, 8, 13, 1, 40, 47) | [log] 下载图片并保存为./out/capture001/page39..jpg完成...
==> (2022, 8, 13, 1, 40, 47) | [log] !图片进度: (40/48)
==> (2022, 8, 13, 1, 40, 47) | [log] 下载图片并保存为./out/capture001/page40..jpg完成...
==> (2022, 8, 13, 1, 40, 47) | [log] !图片进度: (41/48)
==> (2022, 8, 13, 1, 40, 48) | [log] 下载图片并保存为./out/capture001/page41..jpg完成...
==> (2022, 8, 13, 1, 40, 48) | [log] !图片进度: (42/48)
==> (2022, 8, 13, 1, 40, 49) | [log] 下载图片并保存为./out/capture001/page42..jpg完成...
==> (2022, 8, 13, 1, 40, 49) | [log] !图片进度: (43/48)
==> (2022, 8, 13, 1, 40, 50) | [log] 下载图片并保存为./out/capture001/page43..jpg完成...
==> (2022, 8, 13, 1, 40, 50) | [log] !图片进度: (44/48)
==> (2022, 8, 13, 1, 40, 51) | [log] 下载图片并保存为./out/capture001/page44..jpg完成...
==> (2022, 8, 13, 1, 40, 51) | [log] !图片进度: (45/48)
==> (2022, 8, 13, 1, 40, 52) | [log] 下载图片并保存为./out/capture001/page45..jpg完成...
==> (2022, 8, 13, 1, 40, 52) | [log] !图片进度: (46/48)
==> (2022, 8, 13, 1, 40, 53) | [log] 下载图片并保存为./out/capture001/page46..jpg完成...
==> (2022, 8, 13, 1, 40, 53) | [log] !图片进度: (47/48)
==> (2022, 8, 13, 1, 40, 54) | [log] 下载图片并保存为./out/capture001/page47..jpg完成...
==> (2022, 8, 13, 1, 40, 54) | [log] !图片进度: (48/48)
==> (2022, 8, 13, 1, 40, 54) | [log] 下载图片并保存为./out/capture001/page48..jpg完成...
==> (2022, 8, 13, 1, 40, 54) | [log] !!!章节进度: 2(1-232) (2/232)
==> (2022, 8, 13, 1, 40, 54) | [debug] 创建目录./out/capture002/
==> (2022, 8, 13, 1, 40, 54) | [log] !图片进度: (1/26)
==> (2022, 8, 13, 1, 40, 56) | [log] 下载图片并保存为./out/capture002/page01..jpg完成...
==> (2022, 8, 13, 1, 40, 56) | [log] !图片进度: (2/26)
==> (2022, 8, 13, 1, 40, 56) | [log] 下载图片并保存为./out/capture002/page02..jpg完成...
==> (2022, 8, 13, 1, 40, 56) | [log] !图片进度: (3/26)
==> (2022, 8, 13, 1, 40, 58) | [log] 下载图片并保存为./out/capture002/page03..jpg完成...
==> (2022, 8, 13, 1, 40, 58) | [log] !图片进度: (4/26)
==> (2022, 8, 13, 1, 40, 59) | [log] 下载图片并保存为./out/capture002/page04..jpg完成...
==> (2022, 8, 13, 1, 40, 59) | [log] !图片进度: (5/26)
==> (2022, 8, 13, 1, 41, 0) | [log] 下载图片并保存为./out/capture002/page05..jpg完成...
==> (2022, 8, 13, 1, 41, 0) | [log] !图片进度: (6/26)
==> (2022, 8, 13, 1, 41, 0) | [log] 下载图片并保存为./out/capture002/page06..jpg完成...
==> (2022, 8, 13, 1, 41, 0) | [log] !图片进度: (7/26)
==> (2022, 8, 13, 1, 41, 2) | [log] 下载图片并保存为./out/capture002/page07..jpg完成...
==> (2022, 8, 13, 1, 41, 2) | [log] !图片进度: (8/26)
==> (2022, 8, 13, 1, 41, 3) | [log] 下载图片并保存为./out/capture002/page08..jpg完成...
==> (2022, 8, 13, 1, 41, 3) | [log] !图片进度: (9/26)
==> (2022, 8, 13, 1, 41, 4) | [log] 下载图片并保存为./out/capture002/page09..jpg完成...
==> (2022, 8, 13, 1, 41, 4) | [log] !图片进度: (10/26)
==> (2022, 8, 13, 1, 41, 5) | [log] 下载图片并保存为./out/capture002/page10..jpg完成...
==> (2022, 8, 13, 1, 41, 5) | [log] !图片进度: (11/26)
==> (2022, 8, 13, 1, 41, 7) | [log] 下载图片并保存为./out/capture002/page11..jpg完成...
==> (2022, 8, 13, 1, 41, 7) | [log] !图片进度: (12/26)
==> (2022, 8, 13, 1, 41, 8) | [log] 下载图片并保存为./out/capture002/page12..jpg完成...
